대사 아이디,다음 대사,발화자,텍스트,외관 아이디,유형,주재료,카테고리,연출
D05_C07_O_A,D05_C07_R_A,이지민,흠흠` 역시 사장님은 현명하시네요! 사진에 예쁘게 담길 화려한 메뉴 하나 준비해 주세요!,Main_003_streaming,generous,,,
D05_C07_R_A,EOD_D06~C00~01~,이지민,맛있게 잘 먹었습니다! 제 조회수면 효과는 확실할 테니 기대하셔도 좋아요~,Main_003_streaming,positive,,,
D05_C07_O_B,D05_C07_R_B,이지민,... 뭐` 알겠어요. 그래도 배는 고프니까 아무거나 하나 먹고 갈게요.,Main_003_streaming,generous,,,
D05_C07_R_B,EOD_D06~C00~01~,이지민,저는 솔직한 리뷰를 쓸 테니` 책임은 알아서 지셔야 합니다~?,Main_003_streaming,positive,,,
D06_C00_01_,D06_C00_01_a&&D06_C00_01_b,박효진,야` 너 인터넷에 그 얘기 봤냐?,Main_001_default,,,,SB_exclamation
D06_C00_01_a,D06_C00_02_A@@D06_C00_02_B,나,무슨 얘기?,,,,,
D06_C00_01_b,D06_C00_02_A@@D06_C00_02_B,나,안 봤는데.,,,,,
D06_C00_02_A,D06_C00_03_A,박효진,너 인터넷에서 완전 화제야! 신선한 재료에 가성비까지 최고인 맛집 오마카세 식당으로 유명해졌다고!,Main_001_default,,,,SB_youtube
D06_C00_03_A,D06_C00_04_,박효진,아아` 이러다가 손님이 너무 많아져서 단골 VIP의 자리를 다른 사람들에게 빼앗기면 어떡하지~,Main_001_default,,,,
D06_C00_02_B,D06_C00_03_B,박효진,사장님도 불친절하고` 요리의 맛도 별로라서 다시 오고 싶지 않다는 리뷰 영상이 10만 조회수를 넘어가던데?!,Main_001_default,,,,SB_youtube
D06_C00_03_B,D06_C00_04_,박효진,뭐` 그래도 난 항상 네 편이다. 이 맛있는 요리를 직접 먹어보지도 않고 그런 유언비어를 믿는 사람들이 이상한 거지!,Main_001_default,,,,
D06_C00_04_,D06_C00_04_a&&D06_C00_04_b,박효진,아무튼... 인터넷에서 시끄러워지는 게 항상 좋지만은 않으니까~ 앞으로 조금 더 주의하는 게 좋을 것 같아서 말해주러 왔다.,Main_001_default,,,,
D06_C00_04_a,EOO_D06~C01~01~,나,고마워.,,,,,
D06_C00_04_b,EOO_D06~C01~01~,나,잘 가.,,,,,
D06_C01_01_,D06_C01_02_,수상한 후드,요즘 젊은이들한테 연어만큼 인기 있는 생선이 또 있을까? 트렌드를 모르면 요식업계에서 살아님기 힘들 거야.,Main_Hood,,,,
D06_C01_02_,D06_C01_O_,나,(수상한 후드에게 <color=#0000FF>연어</color>를 받았다.),,,,,IA_salmon
D06_C01_O_,D06_C01_R_positive&&D06_C01_R_neutral&&D06_C01_R_negative,수상한 후드,날것의 연어 요리로 하나 만들어 줬으면 좋겠군.,Main_Hood,picky,연어&&,덮밥||샌드위치||국수,
D06_C01_R_positive,EOO_D06~C02~O~,수상한 후드,요리의 맛이 점점 발전하는 것 같... 아` 아니지` 아직 부족해. 너는 앞으로도 한참 발전해야 해!,Main_Hood,positive,,,
D06_C01_R_neutral,EOO_D06~C02~O~,수상한 후드,애송이` 맛있다고 장땡이 아니란 말을 꼭 네 귀로 직접 들어야 알겠느냐?,Main_Hood,neutral,,,
D06_C01_R_negative,EOO_D06~C02~O~,수상한 후드,... 그래` 이게 너의 방식이란 말이로구나...,Main_Hood,negative,,,
D06_C02_O_,D06_C02_R_positive&&D06_C02_R_neutral&&D06_C02_R_negative,손님,안녕하신가! 힘세고 강한 아침` 만일 내게 묻는다면 나는 덮밥.,P017,normal,,덮밥,
D06_C02_R_positive,EOO_D06~C03~O~,손님,신선함과 같은 맙소사! 멈추지 않는 감동의 눈물 흐르는.,P017,positive,,,
D06_C02_R_neutral,EOO_D06~C03~O~,손님,덮밥 그러나 심오한 맛의 향연 또한 받아들일 수 있는 주문 나 하다.,P017,neutral,,,
D06_C02_R_negative,EOO_D06~C03~O~,손님,이것은 매우 부적절한. 어찌하여 나의 순서 짝수 얻다 무시된?,P017,negative,,,
D06_C03_O_,D06_C03_R_positive&&D06_C03_R_negative,손님,제 최애가 저메추에서 피자를 추천해 줬어요! 그러니 오늘은 무슨 일이 있어도 피자를 먹을 거예요!,P018,strict,,피자,
D06_C03_R_positive,EOO_D06~C04~O~,손님,너무 맛있어요! 다음 팬싸에서 제 최애한테도 오막하세를 추천해 줄게요!,P018,positive,,,
D06_C03_R_negative,EOO_D06~C04~O~,손님,피자라고 했잖아요` 피자!! 으아앙~!,P018,negative,,,
D06_C04_O_,D06_C04_R_positive&&D06_C04_R_neutral&&D06_C04_R_negative,손님,내는 일평생 도마도에 설당이나 찍어뭇지` 이래 무신 식당에 와가 요리로 해가 무글 줄은 꿈에도 몰랐다 아이가.,P007,normal,&&토마토,,
D06_C04_R_positive,EOO_D06~C05~O~,손님,하~예 무시라. 니가 만들었따꼬? 가 얼라가 도마도에 환장하는데 좀 가 가가 노나묵고집다.,P007,positive,,,
D06_C04_R_neutral,EOO_D06~C05~O~,손님,개안타` 개안타. 살다 보믄 이런 날도 있는 기다. 이제부터라도 단디 하믄 된다.,P007,neutral,,,
D06_C04_R_negative,EOO_D06~C05~O~,손님,맛있는 도마도가 천지삐까린데 야는 와이라노. 고마 치아라` 파이다. 내는 이 안물란다.,P007,negative,,,
D06_C05_O_,D06_C05_R_positive&&D06_C05_R_neutral&&D06_C05_R_negative,손님,어느 날 아침 그레고르 감자가 편치 않은 꿈에서 깨어났을 때 그는 자신이 구운주먹밥 옆에서 한 조각의 엄청나게 바삭한 해시브라운으로 변해 있다는 것을 깨달았다.,P014,picky,&&감자,구운주먹밥,
D06_C05_R_positive,EOO_D06~C06~O~,손님,사장님이 어느 날 갑자기 바퀴벌레로 변한다면... 라따뚜이 영화처럼 아무나 한 명 붙잡고 계속 요리해 주세요.,P014,positive,,,
D06_C05_R_neutral,EOO_D06~C06~O~,손님,뻔하디 뻔한 맛이네요. 평범한 식당.,P014,neutral,,,
D06_C05_R_negative,EOO_D06~C06~O~,손님,누군가 당신에게 사과를 던진다면... 그냥 맞으세요.,P014,negative,,,
D06_C06_O_,D06_C06_R_positive&&D06_C06_R_neutral&&D06_C06_R_negative,손님,오오ㅠㅠ 분홍코누렁이 배고파ㅠㅠ,P001,generous,,,
D06_C06_R_positive,GTR_D07~C01~01~,손님,오오ㅠㅠ 오마카세냥이 사랑해ㅠㅠ,P001,positive,,,
D07_C01_01_,D07_C01_01_a&&D07_C01_01_b,박효진,야` 축하한다~ 드디어 영업 일주일 차 돌파!,Main_001_default,,,,SB_fanfare
D07_C01_01_a,D07_C01_02_,나,야호!,,,,,
D07_C01_01_b,D07_C01_02_,나,신난다!,,,,,
D07_C01_02_,D07_C01_O_,박효진,이런 기념일에는 샴페인이라도 한 병 터뜨려야 하는 거 아니냐? 물론 네 돈으로 말이지! 큭큭.,Main_001_default,,,,SB_champagne
D07_C01_O_,D07_C01_R_positive&&D07_C01_R_neutral&&D07_C01_R_negative,박효진,샴페인이랑 찰떡으로 잘 어울리는 연어 디쉬로 하나 내어오시죠~,Main_001_default,normal,연어&&,,
D07_C01_R_positive,EOO_D07~C02~O~,박효진,음` 역시 연어는 언제 먹어도 맛있다니까! 네 요리도 마찬가지고!,Main_001_default,positive,,,
D07_C01_R_neutral,EOO_D07~C02~O~,박효진,오... 연어는 아니지만 의외로 샴페인이랑 잘 어울리는 맛인데?,Main_001_default,neutral,,,
D07_C01_R_negative,EOO_D07~C02~O~,박효진,야` 너... 설마 다른 손님들 요구사항도 이런 식으로 무시하고 그러는 거 아니지...? 걱정돼서 하는 말이야.,Main_001_default,negative,,,
D07_C02_O_,D07_C02_R_positive&&D07_C02_R_neutral&&D07_C02_R_negative,손님,꽁꽁 얼어붙은 국수 위로 토마토가 걸어다닙니다.,P011,picky,&&토마토,국수,
D07_C02_R_positive,EOO_D07~C03~O~,손님,굿. 저는 손님의 주문을 존중해주는 식당이 좋아요.,P011,positive,,,
D07_C02_R_neutral,EOO_D07~C03~O~,손님,곱게 자란 내가 이런 음식을 먹을 수 있을 리 없잖아` 무리무리! (※무리가 아니었다?!),P011,neutral,,,
D07_C02_R_negative,EOO_D07~C03~O~,손님,이건 뭐 재미도 없고 감동도 없고 맛도 없고...,P011,negative,,,
D07_C03_O_,D07_C03_R_positive&&D07_C03_R_neutral&&D07_C03_R_negative,손님,제일 빨리 나오는 걸로 주세요. 제가 좀 급해요.,P005,generous,,,
D07_C03_R_positive,EOO_D07~C04~O~,손님,누군가 요리를 막 하는 것처럼 보인다면` 그 사람이 요리를 매우 잘하고 있다는 뜻이죠.,P005 ,positive,,,
D07_C04_O_,D07_C04_R_positive&&D07_C04_R_neutral&&D07_C04_R_negative,손님,정말 아름다운 날이야. 새들은 지저귀고` 꽃들은 피어나고... 이런 날엔` 너 같은 빵반죽들은... 오븐에서 불타야 해.,P003,normal,,피자,
D07_C04_R_positive,EOO_D07~C05~O~,손님,너` 의지를 가지고 뼈를 깎는 노력을 해왔구나?,P003,positive,,,
D07_C04_R_neutral,EOO_D07~C05~O~,손님,노력만 한다면` 누구나 좋은 요리사가 될 수 있을까?,P003,neutral,,,
D07_C04_R_negative,EOO_D07~C05~O~,손님,끔찍한 시간을 보내고 싶어?,P003,negative,,,
D07_C05_O_,D07_C05_R_positive&&D07_C05_R_negative,손님,참치` 덮밥에 타라.,P009,strict,참치&&,덮밥,
D07_C05_R_positive,EOO_D07~C06~O~,손님,오막하세여 신화가 되어라.,P009,positive,,,
D07_C05_R_negative,EOO_D07~C06~O~,손님,나의 참치덮밥은 이렇지 않아!,P009,negative,,,
D07_C06_O_,D07_C06_R_positive&&D07_C06_R_neutral&&D07_C06_R_negative,손님,태어난 국가` 태어난 시대` 태어난 환경과 신분... 우리는 그 무엇 하나 고를 수 없었지만` 태어나서 무엇을 먹고 살아갈 것인지는 고를 수 있죠. 오늘은 닭고기가 들어간 면 요리를 고를게요.,P006,picky,닭고기&&,국수||볶음면||오븐파스타,
D07_C06_R_positive,EOO_D07~C07~O~,손님,인간의 삶은 이처럼 선택의 연속이죠. 오늘 저의 선택은 제법 만족스러웠어요.,P006,positive,,,
D07_C06_R_neutral,EOO_D07~C07~O~,손님,맞아요` 때로는 내가 선택하지 않은 길이 나를 더 좋은 미래로 이끌어 줄 수도 있죠.,P006,neutral,,,
D07_C06_R_negative,EOO_D07~C07~O~,손님,아... 무언가를 선택할 수 있는 권리 따위` 처음부터 저에게는 주어지지 않았던 거네요.,P006,negative,,,
D07_C07_O_,D07_C07_R_positive&&D07_C07_R_neutral&&D07_C07_R_negative,손님,앗! 야생의 햄버거가 나타났다!,P010,normal,,햄버거,
D07_C07_R_positive,GTR_D08~C00~01~,손님,요리의 힘이란 대단해~!,P010,positive,,,
D07_C07_R_neutral,GTR_D08~C00~01~,손님,... 어라!? 햄버거의 상태가...?,P010,neutral,,,
D07_C07_R_negative,GTR_D08~C00~01~,손님,그만해! 햄버거는... 모두의 음식이다!!,P010,negative,,,
D08_C00_01_,D08_C00_01_a,나,가게 앞에 웬 당근 상자가...?,,,,,
D08_C00_01_a,D08_C00_02_,나,자세히 살펴보자.,,,,,
